Date,A1,A2,A3,R1,R2,R3,M1,M2,M3,P1,P2,P3,D1
01/04/2010,2.718,2.677,2.802,2.665,2.627,2.745,2.784,2.73,2.889,2.905,2.869,2.972,2.797
01/11/2010,2.804,2.768,2.877,2.751,2.717,2.822,2.869,2.823,2.958,2.988,2.959,3.042,2.879
01/18/2010,2.793,2.755,2.87,2.739,2.703,2.813,2.861,2.813,2.954,2.983,2.951,3.041,2.87
01/25/2010,2.76,2.719,2.844,2.705,2.666,2.787,2.832,2.78,2.932,2.953,2.918,3.018,2.833
02/01/2010,2.717,2.672,2.809,2.661,2.618,2.75,2.787,2.731,2.897,2.911,2.871,2.984,2.781
02/08/2010,2.707,2.664,2.796,2.652,2.611,2.738,2.778,2.723,2.885,2.9,2.862,2.973,2.769
02/15/2010,2.664,2.617,2.761,2.608,2.563,2.701,2.738,2.678,2.853,2.862,2.818,2.943,2.756
02/22/2010,2.709,2.673,2.783,2.655,2.621,2.726,2.778,2.731,2.869,2.899,2.867,2.958,2.832
03/01/2010,2.756,2.723,2.824,2.702,2.671,2.768,2.827,2.784,2.911,2.943,2.917,2.992,2.861
03/08/2010,2.804,2.773,2.868,2.751,2.721,2.813,2.871,2.829,2.952,2.988,2.964,3.034,2.904
03/15/2010,2.841,2.812,2.9,2.788,2.76,2.846,2.908,2.87,2.982,3.024,3.002,3.063,2.924
03/22/2010,2.87,2.842,2.928,2.819,2.792,2.875,2.936,2.897,3.012,3.05,3.028,3.09,2.946
03/29/2010,2.851,2.816,2.921,2.798,2.765,2.867,2.918,2.873,3.006,3.034,3.006,3.086,2.939
04/05/2010,2.877,2.844,2.944,2.826,2.795,2.891,2.94,2.897,3.024,3.056,3.029,3.106,3.015
04/12/2010,2.909,2.879,2.97,2.858,2.829,2.917,2.972,2.933,3.048,3.088,3.065,3.131,3.069
04/19/2010,2.911,2.881,2.973,2.86,2.831,2.92,2.974,2.935,3.051,3.091,3.068,3.135,3.074
04/26/2010,2.901,2.865,2.976,2.849,2.815,2.922,2.966,2.92,3.054,3.083,3.053,3.141,3.078
05/03/2010,2.95,2.914,3.023,2.898,2.864,2.97,3.011,2.967,3.096,3.131,3.103,3.185,3.122
